Data Source name,Date,Currency,Sales Channel,Transaction Timestamp,Order Created At,Order Updated At,Order ID,Order Name,Country Funnel,Geo Location Segment,Billing Country,Billing Province,Billing City,Order Tags,Product ID,Product Title,Product Tags,Product Type,Variant Title,Gross Sales (INR),Net Sales (INR),Total Sales (INR),Orders,Returns (INR),Return Rate,Items Sold,Items Returned,Average Order Value (INR),New Customer Orders,Returning Customer Orders,Average Items Per Order,Discounts (INR),Row Count,Shopify Traffic Source,SKU,Customer Sale Type,Customer ID,Shipping Country,Month
XYZ Luxury,2026-03-25,INR,Draft Orders,2026-03-25T12:38:10Z,2026-03-25T11:59:56Z,2026-03-25T12:38:37Z,7031090000000.0,#3347,India,India,India,West Bengal,Kolkata,,9007130000000.0,Sara Tikka,"category_tikka, eoss_02jun, EOSS_jan26",,Default Title,0.0,-900.0,-900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,2,Untagged,,First-time,9260510000000.0,India,2026-03
XYZ Luxury,2026-03-01,INR,XYZ Luxury - magic checkout,2026-03-01T14:32:49Z,2026-03-01T14:32:49Z,2026-03-02T05:58:21Z,6893430000000.0,#3271,India,India,India,West Bengal,Rupnarayanpur,"Magic, upi",,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Untagged,,First-time,9150220000000.0,India,2026-03
XYZ Luxury,2026-03-02,INR,XYZ Luxury - magic checkout,2026-03-02T03:24:37Z,2026-03-02T03:24:37Z,2026-03-02T06:08:26Z,6896590000000.0,#3273,India,India,India,Punjab,Gurdaspur,,,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Untagged,,First-time,9145290000000.0,India,2026-03
XYZ Luxury,2026-03-02,INR,XYZ Luxury - magic checkout,2026-03-02T08:33:59Z,2026-03-02T08:33:59Z,2026-03-02T10:20:06Z,6897620000000.0,#3274,India,India,India,Punjab,Ludhiana,"Magic, upi",,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Untagged,,First-time,9154590000000.0,India,2026-03
XYZ Luxury,2026-03-02,INR,XYZ Luxury - magic checkout,2026-03-02T15:23:40Z,2026-03-02T15:23:40Z,2026-03-03T10:11:02Z,6898040000000.0,#3275,India,India,India,Delhi,South,"card, Magic",,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Untagged,,First-time,9155140000000.0,India,2026-03
XYZ Luxury,2026-03-03,INR,XYZ Luxury - magic checkout,2026-03-02T22:09:01Z,2026-03-02T22:09:01Z,2026-03-02T22:09:17Z,6898670000000.0,#3276,India,India,India,Punjab,Amritsar,"card, Magic",,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Untagged,,First-time,9153690000000.0,India,2026-03
XYZ Luxury,2026-03-03,INR,XYZ Luxury - magic checkout,2026-03-03T01:46:17Z,2026-03-03T01:46:17Z,2026-03-03T05:22:18Z,6898940000000.0,#3277,India,India,India,Maharashtra,Mumbai,"Magic, netbanking",,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Untagged,,First-time,8426530000000.0,India,2026-03
XYZ Luxury,2026-03-03,INR,XYZ Luxury - magic checkout,2026-03-03T13:58:33Z,2026-03-03T13:58:33Z,2026-03-06T06:21:00Z,6899920000000.0,#3278,India,India,India,West Bengal,East Midnapore,"Magic, upi",,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Untagged,,First-time,9157230000000.0,India,2026-03
XYZ Luxury,2026-03-04,INR,XYZ Luxury - magic checkout,2026-03-04T05:20:26Z,2026-03-04T05:20:26Z,2026-03-06T05:29:23Z,6903830000000.0,#3280,India,India,India,Haryana,Panchkula,"Magic, upi",,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Untagged,,First-time,9160200000000.0,India,2026-03
XYZ Luxury,2026-03-04,INR,XYZ Luxury - magic checkout,2026-03-04T08:16:25Z,2026-03-04T08:16:25Z,2026-03-05T07:23:46Z,6904350000000.0,#3281,India,India,India,Tamil Nadu,Coimbatore,"Magic, upi",,,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Untagged,,First-time,9160590000000.0,India,2026-03
