Date,Month,Campaign,Country,Spend,Revenue,Conversions,Clicks,Impressions,Platform,ROAS
2026-03-01,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,0.0,0.0,0.0,2.0,2,Google,0.0
2026-03-06,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,97.433475,0.0,0.0,21.0,37,Google,0.0
2026-03-07,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,414.235773,0.0,0.0,38.0,67,Google,0.0
2026-03-08,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,248.294425,0.0,0.0,31.0,50,Google,0.0
2026-03-09,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,428.02695,0.0,0.0,47.0,67,Google,0.0
2026-03-10,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,410.271546,0.0,0.0,45.0,73,Google,0.0
2026-03-11,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,90.001495,0.0,0.0,45.0,70,Google,0.0
2026-03-12,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,145.47781,0.0,0.0,41.0,75,Google,0.0
2026-03-13,2026-03,Growify | Sales | Shopping | US+Canada | DS,Canada,34.463969,0.0,0.0,2.0,141,Google,0.0
2026-03-13,2026-03,Growify | Sales | Shopping | US+Canada | DS,United States,2.074435,0.0,0.0,1.0,101,Google,0.0
2026-03-13,2026-03,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,India,72.682209,0.0,0.0,73.0,1354,Google,0.0
2026-03-13,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,103.928013,0.0,0.0,50.0,74,Google,0.0
2026-03-14,2026-03,Growify | Sales | Shopping | US+Canada | DS,Canada,304.214711,0.0,0.0,10.0,111,Google,0.0
2026-03-14,2026-03,Growify | Sales | Shopping | US+Canada | DS,United States,2924.926787,0.0,0.0,13.0,347,Google,0.0
2026-03-14,2026-03,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,India,1898.810482,0.0,0.0,1230.0,16740,Google,0.0
2026-03-14,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,124.166534,0.0,0.0,22.0,44,Google,0.0
2026-03-15,2026-03,Growify | Sales | Shopping | US+Canada | DS,Canada,1130.917193,0.0,0.0,10.0,231,Google,0.0
2026-03-15,2026-03,Growify | Sales | Shopping | US+Canada | DS,United States,1236.870223,0.0,0.0,13.0,328,Google,0.0
2026-03-15,2026-03,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,India,5055.800891,0.0,0.0,1545.0,28984,Google,0.0
2026-03-15,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,669.027268,0.0,0.0,32.0,41,Google,0.0
2026-03-16,2026-03,Growify | Sales | Shopping | US+Canada | DS,Canada,310.104035,0.0,0.0,4.0,65,Google,0.0
2026-03-16,2026-03,Growify | Sales | Shopping | US+Canada | DS,United States,1426.249405,0.0,0.0,10.0,188,Google,0.0
2026-03-16,2026-03,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,India,1245.024945,0.0,0.0,120.0,3043,Google,0.0
2026-03-16,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,340.52,0.0,0.0,40.0,70,Google,0.0
2026-03-17,2026-03,Growify | Sales | Shopping | US+Canada | DS,Canada,47.66,0.0,0.0,2.0,283,Google,0.0
2026-03-17,2026-03,Growify | Sales | Shopping | US+Canada | DS,United States,334.97,0.0,0.0,8.0,594,Google,0.0
2026-03-17,2026-03,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,India,2726.039018,0.0,0.0,165.0,6266,Google,0.0
2026-03-17,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,74.964783,0.0,0.0,27.0,61,Google,0.0
2026-03-18,2026-03,Growify | Sales | Shopping | US+Canada | DS,Canada,315.51,0.0,0.0,7.0,553,Google,0.0
2026-03-18,2026-03,Growify | Sales | Shopping | US+Canada | DS,United States,1360.93,0.0,0.0,15.0,1066,Google,0.0
2026-03-18,2026-03,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,India,1989.066886,9.7966,0.0,69.0,2072,Google,0.004925224017831243
2026-03-18,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,0.34,0.0,0.0,1.0,4,Google,0.0
2026-03-19,2026-03,Growify | Sales | Shopping | US+Canada | DS,United States,0.0,0.0,0.0,0.0,2,Google,0.0
2026-03-19,2026-03,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,India,9.375836,0.0,0.0,0.0,52,Google,0.0
2026-03-21,2026-03,Growify | Sales | Shopping | US+Canada | DS,Canada,131.59,0.0,0.0,2.0,767,Google,0.0
2026-03-21,2026-03,Growify | Sales | Shopping | US+Canada | DS,United States,3867.91,0.0,0.0,42.0,3644,Google,0.0
2026-03-21,2026-03,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,India,4947.166545,0.0,0.0,500.0,26617,Google,0.0
2026-03-21,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,44.345773,0.0,0.0,25.0,35,Google,0.0
2026-03-22,2026-03,Growify | Sales | Shopping | US+Canada | DS,Canada,910.919126,0.0,0.0,18.0,1128,Google,0.0
2026-03-22,2026-03,Growify | Sales | Shopping | US+Canada | DS,United States,2481.42,0.0,0.0,45.0,6234,Google,0.0
2026-03-22,2026-03,Growify_XYZ LuxuryP_Pmax_India_03-02-2025,India,4449.346913,0.0,0.0,771.0,42186,Google,0.0
2026-03-22,2026-03,Growify_XYZ LuxuryP_Search_India-12/12/25,India,245.69,8369.5,1.0,49.0,63,Google,34.065285522406285
2026-03-23,2026-03,Growify | Sales | Shopping | US+Canada | DS,Canada,347.831167,0.0,0.0,10.0,669,Google,0.0
2026-03-23,2026-03,Growify | Sales | Shopping | US+Canada | DS,United States,1998.274059,0.0,0.0,48.0,3938,Google,0.0
